subject,body,label
Flight Confirmation: NYC to London (Ref: 78),Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Virus Alert: 79585 trojan infections detected on your PC,You have been selected in our international lottery draw! Send your full address and bank details to claim your $79585 prize at claims@lottorewards-16.net.,1
Weekly Engineering Newsletter - Issue #39,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Library Book Due Reminder - 92,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
IRS Tax Refund Alert: Claim your $47710 refund today,Your package #USPS-47710-ZA is held at our depot due to incomplete delivery address. Pay $59 redelivery fee at http://usps-tracking-update-35.com,1
IRS Tax Refund Alert: Claim your $54608 refund today,We could not process your bill of $54608. Please update your billing address and credit card info immediately: http://account-billing-update-41.com,1
Executive Wire Transfer Request - Confidential $24652,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-24652.top,1
Dinner plans for tonight at 52:00 PM?,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Weekly Engineering Newsletter - Issue #54,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Flight Confirmation: NYC to London (Ref: 72),"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Code Review Request: PR #62 - Fix layout bug,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Executive Wire Transfer Request - Confidential $69701,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 69701% discount. Visit http://discount-rx-56.com,1
Action Required: Your Netflix subscription payment of $10601 failed,Your package #USPS-10601-ZA is held at our depot due to incomplete delivery address. Pay $78 redelivery fee at http://usps-tracking-update-168.com,1
GitHub Security Alert: Dependabot updated package in repo #22,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Library Book Due Reminder - 56,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Get FDA approved prescriptions online - 14928% discount,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-14928.com or your account will be locked.",1
Instant Crypto Profit: Guarantee 21100% ROI in 24 hours,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 21100% discount. Visit http://discount-rx-93.com,1
Re: Project Update & Q80 Roadmap Review,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
CONGRATULATIONS! You won $83932 USD cash prize,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-83932.com or your account will be locked.",1
Action Required: Your Netflix subscription payment of $92925 failed,I am currently in an urgent board meeting and cannot take calls. Please wire $92925 to our new supplier immediately and email me the payment slip.,1
Refinance your mortgage at low rates of 67469.99%,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-67469.com or your account will be locked.",1
Double your Bitcoin in 24 hours automatically,Your package #USPS-85266-ZA is held at our depot due to incomplete delivery address. Pay $99 redelivery fee at http://usps-tracking-update-466.com,1
Final Warning: Your Amazon order #19016 requires identity verification,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-19016.com or your account will be locked.",1
Executive Wire Transfer Request - Confidential $32538,Call Microsoft certified technicians right now at +1-800-555-32538 for instant remote removal of dangerous malware on your computer.,1
Weekly Fitness & Activity Summary,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Meeting Invitation: Sprint 35 Planning,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Unclaimed inheritance of $92478 Million from Barrister Smith,Bad credit score? No problem! Get instant approval for a personal loan of $92478 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-57.net,1
Team Lunch on Friday - RSVP needed,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Executive Wire Transfer Request - Confidential $49491,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-49491.com or your account will be locked.",1
Code Review Request: PR #22 - Fix layout bug,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Invoice #INV-2026-59 Attached for Payment,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Final Warning: Your Amazon order #74429 requires identity verification,Your package #USPS-74429-ZA is held at our depot due to incomplete delivery address. Pay $23 redelivery fee at http://usps-tracking-update-453.com,1
Refinance your mortgage at low rates of 32160.99%,Invest $32160 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-23.org now.,1
Refinance your mortgage at low rates of 7925.99%,Call Microsoft certified technicians right now at +1-800-555-7925 for instant remote removal of dangerous malware on your computer.,1
Dinner plans for tonight at 33:00 PM?,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Draft Copy for Product Marketing Brochure #61,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Unclaimed inheritance of $30074 Million from Barrister Smith,I am currently in an urgent board meeting and cannot take calls. Please wire $30074 to our new supplier immediately and email me the payment slip.,1
Fast personal loan approved up to $17633 - No credit check,Your package #USPS-17633-ZA is held at our depot due to incomplete delivery address. Pay $15 redelivery fee at http://usps-tracking-update-572.com,1
Executive Wire Transfer Request - Confidential $44346,Your package #USPS-44346-ZA is held at our depot due to incomplete delivery address. Pay $87 redelivery fee at http://usps-tracking-update-433.com,1
CONGRATULATIONS! You won $38592 USD cash prize,Invest $38592 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-41.org now.,1
Invoice #INV-2026-90 Attached for Payment,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Weekly Fitness & Activity Summary,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Action Required: Your Netflix subscription payment of $4763 failed,We could not process your bill of $4763. Please update your billing address and credit card info immediately: http://account-billing-update-21.com,1
Virus Alert: 48586 trojan infections detected on your PC,Bad credit score? No problem! Get instant approval for a personal loan of $48586 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-57.net,1
Instant Crypto Profit: Guarantee 79542% ROI in 24 hours,Your package #USPS-79542-ZA is held at our depot due to incomplete delivery address. Pay $76 redelivery fee at http://usps-tracking-update-336.com,1
Executive Wire Transfer Request - Confidential $26127,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-26127.com or your account will be locked.",1
Quarterly Financial Performance Summary Q16,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Weekly Engineering Newsletter - Issue #25,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Final Warning: Your Amazon order #59712 requires identity verification,Your package #USPS-59712-ZA is held at our depot due to incomplete delivery address. Pay $75 redelivery fee at http://usps-tracking-update-118.com,1
GitHub Security Alert: Dependabot updated package in repo #36,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Instant Crypto Profit: Guarantee 28430% ROI in 24 hours,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 28430% discount. Visit http://discount-rx-33.com,1
Refinance your mortgage at low rates of 2166.99%,Invest $2166 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-11.org now.,1
Code Review Request: PR #95 - Fix layout bug,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Hot singles near your area are looking for a chat - Profile #84732,Invest $84732 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-55.org now.,1
Weekly Engineering Newsletter - Issue #13,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Double your Bitcoin in 24 hours automatically,Bad credit score? No problem! Get instant approval for a personal loan of $7607 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-22.net,1
Fast personal loan approved up to $63858 - No credit check,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-63858.com or your account will be locked.",1
Executive Wire Transfer Request - Confidential $96936,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 96936% discount. Visit http://discount-rx-27.com,1
Final Warning: Your Amazon order #32377 requires identity verification,You have been selected in our international lottery draw! Send your full address and bank details to claim your $32377 prize at claims@lottorewards-21.net.,1
Team Lunch on Friday - RSVP needed,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Refinance your mortgage at low rates of 89237.99%,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-89237.top,1
Doctor Appointment Reminder for Thursday at 95:00 PM,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Doctor Appointment Reminder for Thursday at 77:00 PM,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Executive Wire Transfer Request - Confidential $4081,Your package #USPS-4081-ZA is held at our depot due to incomplete delivery address. Pay $86 redelivery fee at http://usps-tracking-update-627.com,1
Receipt for your Uber ride - $74,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Meeting Invitation: Sprint 81 Planning,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Final Warning: Your Amazon order #80228 requires identity verification,I am currently in an urgent board meeting and cannot take calls. Please wire $80228 to our new supplier immediately and email me the payment slip.,1
GitHub Security Alert: Dependabot updated package in repo #54,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
GitHub Security Alert: Dependabot updated package in repo #34,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
CONGRATULATIONS! You won $45170 USD cash prize,We could not process your bill of $45170. Please update your billing address and credit card info immediately: http://account-billing-update-57.com,1
Instant Crypto Profit: Guarantee 89865% ROI in 24 hours,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-89865.top,1
Receipt for your Uber ride - $50,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Weekly Engineering Newsletter - Issue #53,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Code Review Request: PR #1 - Fix layout bug,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Refinance your mortgage at low rates of 44460.99%,Bad credit score? No problem! Get instant approval for a personal loan of $44460 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-87.net,1
Virus Alert: 58911 trojan infections detected on your PC,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 58911% discount. Visit http://discount-rx-49.com,1
Unclaimed inheritance of $62631 Million from Barrister Smith,I am currently in an urgent board meeting and cannot take calls. Please wire $62631 to our new supplier immediately and email me the payment slip.,1
Instant Crypto Profit: Guarantee 34492% ROI in 24 hours,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 34492% discount. Visit http://discount-rx-60.com,1
Weekly Engineering Newsletter - Issue #17,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Quarterly Financial Performance Summary Q69,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Doctor Appointment Reminder for Thursday at 35:00 PM,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Get FDA approved prescriptions online - 38240% discount,We could not process your bill of $38240. Please update your billing address and credit card info immediately: http://account-billing-update-58.com,1
GitHub Security Alert: Dependabot updated package in repo #43,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Instant Crypto Profit: Guarantee 96260% ROI in 24 hours,Your package #USPS-96260-ZA is held at our depot due to incomplete delivery address. Pay $53 redelivery fee at http://usps-tracking-update-542.com,1
URGENT: Suspicious activity on your account #58001,Bad credit score? No problem! Get instant approval for a personal loan of $58001 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-31.net,1
Invoice #INV-2026-7 Attached for Payment,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Team Lunch on Friday - RSVP needed,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Virus Alert: 40013 trojan infections detected on your PC,We could not process your bill of $40013. Please update your billing address and credit card info immediately: http://account-billing-update-11.com,1
Doctor Appointment Reminder for Thursday at 96:00 PM,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Weekly Engineering Newsletter - Issue #21,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Executive Wire Transfer Request - Confidential $72839,Your package #USPS-72839-ZA is held at our depot due to incomplete delivery address. Pay $69 redelivery fee at http://usps-tracking-update-498.com,1
GitHub Security Alert: Dependabot updated package in repo #51,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
Unclaimed inheritance of $76470 Million from Barrister Smith,You have been selected in our international lottery draw! Send your full address and bank details to claim your $76470 prize at claims@lottorewards-75.net.,1
Re: Project Update & Q60 Roadmap Review,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Receipt for your Uber ride - $66,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Virus Alert: 11817 trojan infections detected on your PC,We could not process your bill of $11817. Please update your billing address and credit card info immediately: http://account-billing-update-76.com,1
Draft Copy for Product Marketing Brochure #47,"Hey team, I opened a pull request for the new feature branch. Please review the code changes and unit tests when you have time.",0
Instant Crypto Profit: Guarantee 40289% ROI in 24 hours,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 40289% discount. Visit http://discount-rx-89.com,1
Re: Project Update & Q94 Roadmap Review,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Quarterly Financial Performance Summary Q11,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Weekly Engineering Newsletter - Issue #98,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Invoice #INV-2026-89 Attached for Payment,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
IRS Tax Refund Alert: Claim your $63513 refund today,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-63513.com or your account will be locked.",1
Virus Alert: 33140 trojan infections detected on your PC,Bad credit score? No problem! Get instant approval for a personal loan of $33140 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-82.net,1
Code Review Request: PR #8 - Fix layout bug,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Fast personal loan approved up to $68130 - No credit check,Call Microsoft certified technicians right now at +1-800-555-68130 for instant remote removal of dangerous malware on your computer.,1
Weekly Fitness & Activity Summary,Your flight booking is confirmed. Electronic tickets and seat selection details are available in your account. Thank you for flying with us.,0
GitHub Security Alert: Dependabot updated package in repo #5,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
URGENT: Suspicious activity on your account #88300,We could not process your bill of $88300. Please update your billing address and credit card info immediately: http://account-billing-update-74.com,1
Weekly Engineering Newsletter - Issue #92,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Action Required: Your Netflix subscription payment of $60610 failed,Your package #USPS-60610-ZA is held at our depot due to incomplete delivery address. Pay $59 redelivery fee at http://usps-tracking-update-756.com,1
Final Warning: Your Amazon order #40874 requires identity verification,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-40874.com or your account will be locked.",1
URGENT: Suspicious activity on your account #92467,Invest $92467 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-73.org now.,1
Virus Alert: 85711 trojan infections detected on your PC,Call Microsoft certified technicians right now at +1-800-555-85711 for instant remote removal of dangerous malware on your computer.,1
Weekly Fitness & Activity Summary,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
URGENT: Suspicious activity on your account #60809,Bad credit score? No problem! Get instant approval for a personal loan of $60809 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-14.net,1
Hot singles near your area are looking for a chat - Profile #11724,You have been selected in our international lottery draw! Send your full address and bank details to claim your $11724 prize at claims@lottorewards-78.net.,1
GitHub Security Alert: Dependabot updated package in repo #62,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Receipt for your Uber ride - $74,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Weekly Fitness & Activity Summary,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Get FDA approved prescriptions online - 78345% discount,Call Microsoft certified technicians right now at +1-800-555-78345 for instant remote removal of dangerous malware on your computer.,1
Action Required: Your Netflix subscription payment of $57509 failed,Your package #USPS-57509-ZA is held at our depot due to incomplete delivery address. Pay $21 redelivery fee at http://usps-tracking-update-81.com,1
Quarterly Financial Performance Summary Q4,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Flight Confirmation: NYC to London (Ref: 34),Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Re: Project Update & Q53 Roadmap Review,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Code Review Request: PR #3 - Fix layout bug,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
GitHub Security Alert: Dependabot updated package in repo #18,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Claim your free iPhone 15 Pro Max now - 28131 unclaimed reward,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-28131.com or your account will be locked.",1
Doctor Appointment Reminder for Thursday at 42:00 PM,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Flight Confirmation: NYC to London (Ref: 79),"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Quarterly Financial Performance Summary Q95,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Weekly Fitness & Activity Summary,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Flight Confirmation: NYC to London (Ref: 32),We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Virus Alert: 51115 trojan infections detected on your PC,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-51115.com or your account will be locked.",1
Get FDA approved prescriptions online - 96693% discount,Bad credit score? No problem! Get instant approval for a personal loan of $96693 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-62.net,1
Action Required: Your Netflix subscription payment of $17516 failed,You have been selected in our international lottery draw! Send your full address and bank details to claim your $17516 prize at claims@lottorewards-82.net.,1
Meeting Invitation: Sprint 3 Planning,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Executive Wire Transfer Request - Confidential $73051,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-73051.top,1
Weekly Fitness & Activity Summary,Please find attached invoice for services rendered. Payment is due by the end of the month. Contact accounting if you have any billing inquiries.,0
Virus Alert: 39445 trojan infections detected on your PC,I am currently in an urgent board meeting and cannot take calls. Please wire $39445 to our new supplier immediately and email me the payment slip.,1
Instant Crypto Profit: Guarantee 90336% ROI in 24 hours,Invest $90336 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-70.org now.,1
Library Book Due Reminder - 96,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Hot singles near your area are looking for a chat - Profile #20017,Call Microsoft certified technicians right now at +1-800-555-20017 for instant remote removal of dangerous malware on your computer.,1
Instant Crypto Profit: Guarantee 54916% ROI in 24 hours,I am currently in an urgent board meeting and cannot take calls. Please wire $54916 to our new supplier immediately and email me the payment slip.,1
Executive Wire Transfer Request - Confidential $80367,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 80367% discount. Visit http://discount-rx-84.com,1
Double your Bitcoin in 24 hours automatically,Call Microsoft certified technicians right now at +1-800-555-22399 for instant remote removal of dangerous malware on your computer.,1
Final Warning: Your Amazon order #98890 requires identity verification,Invest $98890 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-16.org now.,1
Re: Project Update & Q25 Roadmap Review,Friendly reminder of your upcoming appointment with Dr. Watson on Thursday at 3:00 PM. Please arrive 10 minutes prior to your appointment time.,0
Doctor Appointment Reminder for Thursday at 4:00 PM,We are celebrating our product release this Friday in the main conference room. We will have food and refreshments for everyone.,0
Doctor Appointment Reminder for Thursday at 47:00 PM,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Executive Wire Transfer Request - Confidential $11208,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 11208% discount. Visit http://discount-rx-85.com,1
Doctor Appointment Reminder for Thursday at 84:00 PM,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Unclaimed inheritance of $55107 Million from Barrister Smith,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 55107% discount. Visit http://discount-rx-61.com,1
Action Required: Your Netflix subscription payment of $52936 failed,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-52936.com or your account will be locked.",1
Get FDA approved prescriptions online - 49571% discount,"Dear customer, we detected unauthorized login attempts. Verify your password immediately at http://verify-secure-login-portal-49571.com or your account will be locked.",1
Invoice #INV-2026-15 Attached for Payment,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
Unclaimed inheritance of $83970 Million from Barrister Smith,Bad credit score? No problem! Get instant approval for a personal loan of $83970 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-22.net,1
Double your Bitcoin in 24 hours automatically,Your package #USPS-81658-ZA is held at our depot due to incomplete delivery address. Pay $92 redelivery fee at http://usps-tracking-update-663.com,1
Get FDA approved prescriptions online - 95258% discount,Bad credit score? No problem! Get instant approval for a personal loan of $95258 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-21.net,1
Hot singles near your area are looking for a chat - Profile #91381,Call Microsoft certified technicians right now at +1-800-555-91381 for instant remote removal of dangerous malware on your computer.,1
Instant Crypto Profit: Guarantee 74095% ROI in 24 hours,I am currently in an urgent board meeting and cannot take calls. Please wire $74095 to our new supplier immediately and email me the payment slip.,1
Fast personal loan approved up to $14422 - No credit check,Order top quality remedies online with no doctor prescription needed. Discreet worldwide shipping with 14422% discount. Visit http://discount-rx-87.com,1
Get FDA approved prescriptions online - 27114% discount,You have been selected in our international lottery draw! Send your full address and bank details to claim your $27114 prize at claims@lottorewards-21.net.,1
Executive Wire Transfer Request - Confidential $42697,Meet attractive singles in your city today. Free signup for 24 hours. Create your profile at http://local-dating-singles-42697.top,1
CONGRATULATIONS! You won $79531 USD cash prize,Bad credit score? No problem! Get instant approval for a personal loan of $79531 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-63.net,1
Re: Project Update & Q77 Roadmap Review,Thanks for riding with Uber! Total amount charged to your card. Detailed breakdown of route and receipt attached.,0
Instant Crypto Profit: Guarantee 42456% ROI in 24 hours,I am currently in an urgent board meeting and cannot take calls. Please wire $42456 to our new supplier immediately and email me the payment slip.,1
Final Warning: Your Amazon order #35821 requires identity verification,Your package #USPS-35821-ZA is held at our depot due to incomplete delivery address. Pay $97 redelivery fee at http://usps-tracking-update-896.com,1
Draft Copy for Product Marketing Brochure #5,Please accept this calendar invite for our upcoming sprint planning session. We will review the backlog items and assign story points.,0
Refinance your mortgage at low rates of 83089.99%,Your package #USPS-83089-ZA is held at our depot due to incomplete delivery address. Pay $16 redelivery fee at http://usps-tracking-update-788.com,1
Weekly Engineering Newsletter - Issue #3,"Hi team, attached is the presentation for next week's review. Please let me know if you have any questions or suggestions before Thursday.",0
Quarterly Financial Performance Summary Q75,"Welcome to this week's issue of Developer Digest! Read about Python performance tips, clean code principles, and web framework updates.",0
Unclaimed inheritance of $50611 Million from Barrister Smith,You have been selected in our international lottery draw! Send your full address and bank details to claim your $50611 prize at claims@lottorewards-38.net.,1
Get FDA approved prescriptions online - 17723% discount,Invest $17723 today in our new token and get guaranteed returns within 3 days. Register at http://crypto-boom-trade-59.org now.,1
Fast personal loan approved up to $83895 - No credit check,Bad credit score? No problem! Get instant approval for a personal loan of $83895 deposited directly into your account within 1 hour. Apply http://fast-cash-loans-34.net,1
Code Review Request: PR #39 - Fix layout bug,"Here is the summary of key takeaways from our weekly team sync: bug fixes deployed to staging, database migration scheduled for Tuesday.",0
